prompt,completion
shining / Showa era,"昭 shining / Showa era
日 (sun, day) + 召 (summon) Same-ON
★★☆☆☆
9 strokes
PNSIDEKICK
Onyomi
SHOU	
Mnemonic
The sun summons the shine of the Showa era of WWII, the brightest point in Japanese history!! (SARC)

Jukugo
昭和しょうわ	
Showa Era ★★☆☆☆ CCW
昭 (shining / Showa era) + 和 (peace/ Japan) = 昭和 (Showa Era)

Showa Era： (In Japan, a new　時代 (era) begins every time a new Emperor is crowned, and lasts until the next one is crowned. The Japanese - like Pol Pot - start counting from Year One every time they enter a new era.

The era doesn't use the Emperor's real name, but his official nickname, which seems a bit informal, but try being logical with an emperor-lover and see where it gets you.

Anyway, the Showa era, according to wikipedia, was from 1926-1989.

昭和しょわ	
Hirohito's nickname ★★☆☆☆ CCW
昭 (shining / Showa era) + 和 (peace/ Japan) = 昭和 (Hirohito's nickname)

nickname of Emperor Hirohito - from which the Era got its name.

Used In
照"
contrast,"照 contrast
昭 (shining / Showa era) Same-ON +  (firebottom)
★★☆☆☆
13 strokes
Onyomi
SHOU	
Mnemonic
The shine of the fire SHOWS shadows on the wall of the cave in bright contrast.

Kunyomi
( を ) て＊らす	to illuminate, literally, or in the (figurative) sense of comparing ２ things.
★☆☆☆☆
( は ) て＊れる	to be self-conscious; as opposed to regular embarrassment or shyness.
★☆☆☆☆
Jukugo
対照たいしょう	
contrast ★★☆☆☆
対 (against) + 照 (contrast) = 対照 (contrast)
"
understand / divide / minute,"分 understand / divide / minute
八 (eight) + 刀 (sword)
★★★★★
4 strokes
JERK
Onyomi
FUN, BUN	
Mnemonic
It only takes a minute to bake a baby BUNNY in the oven, plus it's FUN. After it's well done, use your sword to divide it into 8 pieces!

Kunyomi
( を ) わ＊かる	understand. (BOOBOO - Not 'understand' like 'I know the capital of Australia"", but more like, ""Oh! NOW I get it! DON'T call them skanks! ')
★★★★★
( を ) わ＊ける	I divide it (in ２)
★★★☆☆
( が ) わ＊かれる	it was divided; it branched into ２ sections.
★★★☆☆
Jukugo
一分いっぷん	
one minute ★★★★★ COUNTER
一 (one) + 分 (understand / divide / minute) = 一分 (one minute)

one minute of time. (2 minutes = 二分（にふん）、　3 minutes = 三分(三分), etc.)

半分はんぶん	
one half ★★★★★
半 (half) + 分 (understand / divide / minute) = 半分 (one half)

多分たぶん	
maybe ★★★★☆ 1/2 KANA
多 (many) + 分 (understand / divide / minute) = 多分 (maybe)

部分ぶぶん	
a part or piece. ★★★★☆
部 (section) + 分 (understand / divide / minute) = 部分 (a part or piece. )

気分きぶん	
one's mood ★★★☆☆
気 (mood) + 分 (understand / divide / minute) = 気分 (one's mood)

Used In
紛 粉 貧 雰
Synonyms
analyze
分析    解剖    解析   
area, territory, sector
地域    領域    地帯    地区    分野    範囲   
depression
憂鬱    落ち込む    気分がしずむ    きが滅入る    陰気    ふてくされる うかない
ingredients
材料    成分   
manage, dispose of
経営する    営む    管理    処理    処置    処分   
me, myself, us
身    自分    我    己    自我   
ordinarily
大分    常に    常事   
partition, separate
へだてる 分離    隔離    検疫   
social status
身分    分際    階級   "
type of medicine,"剤 type of medicine
斉 (unison) Same-ON + 刀 (sword)
★☆☆☆☆
10 strokes
BETASUF
Onyomi
ZAI	
take this pill to improve your performance of ""IRON MAN"" on the ZAIlophone.

Mnemonic
This type of medicine is like 1,000 microscopic swords all attacking germs in unison!

Jukugo
xxx 剤ざい	
xxx medicine ★☆☆☆☆ SUF

although くすり means medicine in general, XXX剤 means, 'XXX kind of medicine.'

For example, and you don't need to remember these: 解熱剤 (げねつざい)： anti-fever medicine, or 下剤(げざい): a laxative medicine

Lookalikes
Meaning	Hint	Radical
済	economy / to be over	WET	水
斉	unison	CULTURE	文
剤	type of medicine	SWORD	刀
The economy is all WET. Our CULTURE cries out in unison for some medicine in the form of a SWORD to cut deficits."
punishment,"罰 punishment
 (net) + 言 (say) + 刀 (sword)
★★★☆☆
4 strokes
Onyomi
BATSU	
I'll have to punish BATSU maru for being a naughty penguin!

Mnemonic
If someone says something bad, catch them with a net and punish them with a sword!

Kunyomi
ばつ ( する )	punishment / to punish LAZY
★★★☆☆
Jukugo
罰ゲームばつげーむ	
penalty game. ★★☆☆☆
罰 (punishment) + ム () = 罰ゲーム (penalty game.)

a truth-or-dare kind of ""penalty game.""

罰金ばっきん	
a fine ★☆☆☆☆
罰 (punishment) + 金 (gold) = 罰金 (a fine)

Synonyms
punish
お仕置き    罰する   "
blade,"刃 blade
刀 (sword) + 丶 (dot)
★☆☆☆☆
3 strokes
ILL PAIR
Onyomi
JIN	
Don't fuck with blades when you are twisted on GIN.

Mnemonic
刃 is basically sword, which is bisecting a little line, which we'll think of as a FINGER for the purposes of the following mnemonic:
My sword blade is cutting a finger in half. What did I just say about too much gin?

Kunyomi
は	BOOBOO: not a knife or sword - the BLADE or the SHARP EDGE of one. Remember, swords don't kill people, 刃s kill people.
★☆☆☆☆
Jukugo
刃物はもの	
edged weapon.or kitchen cutlery ★☆☆☆☆ KUNKUN
刃 (blade) + 物 (animal / thing) = 刃物 (edged weapon.or kitchen cutlery )

Lookalikes
Meaning	Hint	Radical
刃	blade	SWORD	刀
丸	round	HOOK	
Blade comes from the SWORD radical, which makes sense.

'Round' comes from 9, which has a HOOK on the right side. (the right side of blade turns outwards).

So you can say, ""I can hang nine round donuts on the HOOK.""

Used In
忍"
hide / endure,"認 admit
言 (say) + 忍 (hide / endure) Same-ON
★★★★☆
14 strokes
Onyomi
NIN	
Mnemonic
The NINja said the truth, admitted to his crimes, and endured the consequences.

Kunyomi
みと*める	to admit or acknowledge something
★★★★☆
Jukugo
確認かくにん する	
double-check ★★★★☆
確 (make certain) + 認 (admit) = 確認 (double-check)

to double-check something.

Lookalikes
Meaning	Hint	Radical
認	admit	NINJA	忍
誌	magazine	SAMURAI	士
The NINJA had to admit that the magazine is about SAMURAI.

Synonyms
make sure of
確認する    確実に "
admit,"認 admit
言 (say) + 忍 (hide / endure) Same-ON
★★★★☆
14 strokes
Onyomi
NIN	
Mnemonic
The NINja said the truth, admitted to his crimes, and endured the consequences.

Kunyomi
みと*める	to admit or acknowledge something
★★★★☆
Jukugo
確認かくにん する	
double-check ★★★★☆
確 (make certain) + 認 (admit) = 確認 (double-check)

to double-check something.

Lookalikes
Meaning	Hint	Radical
認	admit	NINJA	忍
誌	magazine	SAMURAI	士
The NINJA had to admit that the magazine is about SAMURAI.

Synonyms
make sure of
確認する    確実に   "
strong,"力 strong
刀 (sword)
★★★★★
2 strokes
PNPKSYMBOLIC
Onyomi
RYOKU	
My REOCCURING dream is so strong, I wake up screaming. With a boner.

Mnemonic
力 is basically like sword 〔刀), but the vertical line goes UP OVER THE TOP, making a kind of little 'head'.
So, here's how to tell sword apart from strong:
""I got the STRENGTH to lift the sword UP OVER MY HEAD .""

Kunyomi
ちから	strength, power, force
★★★★★
Jukugo
暴力ぼうりょく	
violence ★★★★☆
暴 (rampage) + 力 (strong) = 暴力 (violence)

violence of person against person.

努力どりょく	
really grueling effort ★★★★☆
努 (make an effort) + 力 (strong) = 努力 (really grueling effort)

協力きょうりょく	
cooperation ★★★☆☆
協 (cooperate) + 力 (strong) = 協力 (cooperation)

暴力団ぼうりょくだん	
the official term for Yakuza. ★★☆☆☆ NP
暴力 (violence) + 団 (group) = 暴力団 (the official term for Yakuza. )

Lookalikes
Meaning	Hint	Radical
刀	sword	NO HEAD	
力	strong	HEAD	
九	the number 9	HOOK ON BOTTOM	
""I got the STRENGTH to lift the sword UP OVER MY HEAD .""
She hung suspended from 9 HOOKS in her back.

Used In
加 協 脅 努 男 劣 幼 筋 勤 募 励 効 勧 動 勉 勢 務 助 労 勘 功 九 勝
Synonyms
capability, talent
性能    才能    能力   
data entry
入力    記入    登録   
glamorous, charming
魅力    魅惑   
gravity
引力    重力   
power, authority
勢い    力    権力    威力    政権    権利    権威   
to do your best, to try your hardest
一生懸命    努力    必死    奮闘   
unite
合わせる    力を合わせる    併せる    結束   
violence
乱暴    暴力   "
add,"加 add
力 (strong) + 口 (mouth/small box radical)
★★★☆☆
5 strokes
Onyomi
KA	
as in, ""Add a CAR to my garage. ""

Mnemonic
The rapper's strong mouth added power to the struggling music label.

Kunyomi
くわ*える	to add
★★★☆☆
Jukugo
参加さんか する	
join ★★★☆☆
参 (admit defeat / visit) + 加 (add) = 参加 (join)

to join a group, or participate in something

いい加減いいかげん な	
unfounded, pointless ★★☆☆☆ CCW
加 (add) + 減 (decrease) = いい加減 (unfounded, pointless)

unfounded or groundless. Not a lie exactly, but someone who is just bullshitting, talking without saying anything meaningful or definite. Also means, working in a haphazard, hit-or-miss fashion.

増加ぞうか	
an increase ★☆☆☆☆ NP
増 (increase) + 加 (add) = 増加 (an increase)

Synonyms
quit it
放っておけよ    よしてくれ いい加減にしろ    辞めてくれ  "
cooperate,"協 cooperate
十 (ten) + 力 (strong)
★★★☆☆
8 strokes
BETA
Onyomi
KYOU	
We cooperated TODAY (今日= KYOU)

Mnemonic
There's THREE 'strong' radicals, so you can say:
Three strong people cooperating have the strength of ten people working alone.

Jukugo
協力きょうりょく	
cooperation ★★★☆☆
協 (cooperate) + 力 (strong) = 協力 (cooperation)

妥協だきょう する	
compromise ★★★☆☆
妥 (compromise) + 協 (cooperate) = 妥協 (compromise)

協会きょうかい	
union ★★☆☆☆
協 (cooperate) + 会 (big meeting) = 協会 (union)

a society or association - but usually used about labor unions.

Synonyms
union, league, alliance
連合    協会    同盟    連盟 "
threaten,"脅 threaten
力 (strong) + 月 (moon/organ)
★★☆☆☆
10 strokes
SOLO
Onyomi
KYOU	
Mnemonic
TODAY (今日= KYOU) , three strong guys threatened my vital organs.

Kunyomi
おど＊す	threaten
★★☆☆☆
おど*かす	to try and suprise and / or scare someone. Kids jump out of the bushes playing ninja. Or parents saying, ""If you don't eat your vegetables, ghosts are going to come get you!"" KIDS
★★☆☆☆
Jukugo
脅迫きょうはく する	
intimidate ★☆☆☆☆ NP
脅 (threaten) + 迫 (press upon) = 脅迫 (intimidate)

more formal than　脅す 　. Not just to threaten, but to be intimidating.

Synonyms
intimidate, threaten
脅す    脅かす    脅迫    恐喝 "
make an effort,"努 make an effort
奴 (servant / dood) Same-ON + 力 (strong)
★★★☆☆
7 strokes
DUPE
Onyomi
DO	
Mnemonic
The servant has to DO a strong effort, or face the lash!

Kunyomi
つと*める	make an effort (at improving your French, at quitting smoking, to be nice to your friend's douche boyfriend, etc.) , - Actualy, this is more in common with がんばるthan with the other two つとめるs.（勤めるand　務める） NP
★★★☆☆
Jukugo
努力どりょく	
really grueling effort ★★★★☆
努 (make an effort) + 力 (strong) = 努力 (really grueling effort)

Lookalikes
Meaning	Hint	Radical
怒	get mad	WOMAN	女
恐	dread	CRAFTY	工
努	make an effort	STRENGTH	力
The WOMAN gets mad, but I dread a CRAFTY man.
Making an effort takes all your STRENGTH.

Synonyms
to do your best, to try your hardest
一生懸命    努力    必死    奮闘   
work at something
努    務    勤 "
man,"男 man
田 (rice field) + 力 (strong)
★★★★★
7 strokes
PN
Onyomi
DAN	
Mnemonic
Glen DANzig uses his manly strength to harvest the rice in the field.

While listening to DANzig.

Kunyomi
おとこ	man
★★★★★
Jukugo
男の人おとこのひと	
the more polite way to say it. ★★★★★
男 (man) + 人 (person) = 男の人 (the more polite way to say it.)

男の子おとこのこ	
boy ★★★★★
男 (man) + 子 (child) = 男の子 (boy)

男性だんせい	
male ★★★☆☆
男 (man) + 性 (sex / essential nature) = 男性 (male)

男尊女卑だんそんじょひ	
sexism ★★☆☆☆
男 (man) + 尊 (esteem) + 女 (woman) + 卑 (despicable) = 男尊女卑 (sexism)

sexism (literally, and I love this； 'men - esteem - women - despise')

長男ちょうなん	
firstborn son ★☆☆☆☆ FP
長 (long / boss) + 男 (man) = 長男 (firstborn son)

Used In
勇"
the number 9,"九 the number 9
力 (strong)
★★★★★
2 strokes
PK COUNTER ABU
九's ONYOMI is pronounced 'KU'- the same as the ONYOMI of 苦しい　(くるしい）, which means 'suffering'. So it's sometimes considered an unlucky number. (See also the number 4 (四), which sounds like 'death')
Onyomi
KYUU, KU	
You've got 9 cute teeth in your KUchi (口＝mouth)

Mnemonic
Looks like strong (力), but the right side is curled up like a fish-hook.
So you can say,
She has 9 FISH-HOOKS in her back.

Kunyomi
ここの*つ	9 things
★★★★★
Jukugo
九時くじ	
９ o'clock ★★★★★ KANA
九 (the number 9) + 時 (time) = 九時 (９ o'clock)

九月くがつ	
September ★★★★★ KANA
九 (the number 9) + 月 (moon) = 九月 (September)

九日ここのか	
9th day of the month ★★★☆☆ FP
九 (the number 9) + 日 (sun, day) = 九日 (9th day of the month )

Lookalikes
Meaning	Hint	Radical
刀	sword	NO HEAD	
力	strong	HEAD	
九	the number 9	HOOK ON BOTTOM	
""I got the STRENGTH to lift the sword UP OVER MY HEAD .""
She hung suspended from 9 HOOKS in her back.

Used In
丸 枠 染 雑 粋 尻 酔 砕 究"
